,teamname,rating,rd,kills,deaths,assists,ckpm,team kpm
160,devils.one,929.0342995941764,162.33378838957333,12.247706422018348,14.220183486238533,29.321100917431192,0.8070853211009175,0.3698110091743119
161,Diablo Chairs,1190.9334120795972,244.88112217387405,10.285714285714286,14.928571428571429,24.142857142857142,0.8176285714285714,0.32465
162,PRIDE,1085.2946347233215,209.67810435071468,9.96774193548387,17.06451612903226,22.193548387096776,0.7810193548387097,0.27261290322580645
163,AVEZ Esport,1190.9334120795972,244.88112217387405,7.823529411764706,13.647058823529411,17.529411764705884,0.6327294117647059,0.21741764705882352
164,Illuminar Gaming,874.4061116797574,149.56269588864524,13.279329608938548,12.932960893854748,29.782122905027933,0.7995564245810055,0.40511787709497205
165,K1CK,978.4105155048063,178.5298542848006,15.526315789473685,11.078947368421053,36.62280701754386,0.8298491228070176,0.49666666666666665
166,piratesports,1083.8297058683802,208.64531610122032,10.75,14.35,26.25,0.771995,0.3208525
167,Team Aze,850.4358163723491,144.61915529194687,14.311377245508982,12.616766467065869,33.1437125748503,0.8523838323353292,0.4555568862275449
168,Arctic Gaming México,932.2243501332057,165.41627851527832,15.212121212121213,15.929292929292929,32.0,0.9753838383838384,0.4751989898989899
169,Estral Esports,843.2350582174836,142.14053365903837,15.263636363636364,11.309090909090909,36.986363636363635,0.8175113636363636,0.481005
170,Chivas Esports,1113.3818390077167,218.63348960390573,11.92,15.6,27.24,0.871688,0.35544800000000004
171,ESTORM,1113.3818390077167,218.63348960390573,11.32,16.88,23.56,0.936904,0.368836
172,Cream Real Betis,977.7386635928154,178.00864647325332,13.34,13.91,30.56,0.8255589999999999,0.40084400000000003
173,Infinity Esports Academy,1113.3818390077167,218.63348960390573,12.04,17.0,26.32,0.8748560000000001,0.359796
174,Avant Gaming,1061.6885809372386,202.5073437211262,11.955555555555556,14.133333333333333,28.555555555555557,0.807931111111111,0.36626666666666663
175,Legacy Esports,991.3422925016077,181.86414501922098,14.404761904761905,11.333333333333334,33.0,0.8250154761904762,0.4632928571428572
